p_id,p_hour,fcount
1,12,43
2,00,0
3,00,6
4,10,38
5,02,1
6,07,3
7,12,84
8,08,1
9,00,8
10,10,11
11,12,4
12,12,2
13,11,44
14,01,64
15,11,5
16,02,101
17,00,76
18,00,15
19,02,5
20,01,8
21,00,8
22,00,12
23,02,8
24,10,15
25,00,38
26,12,16
27,00,2
28,12,15
29,00,5
30,06,1
31,00,1
32,00,5
33,12,38
34,09,4
35,00,16
36,00,76
37,01,89
38,01,3
39,01,23
40,00,21
41,00,48
42,00,68
43,12,18
44,03,3
45,00,29
46,00,1
47,00,6
48,12,128
49,00,75
50,10,50
51,12,31
52,08,14
53,00,7
54,12,8
55,00,7
56,11,28
57,09,3
58,00,2
59,00,1
60,00,5
61,00,80
62,12,24
63,12,11
64,00,7
65,12,45
66,12,19
67,00,10
68,02,126
69,00,15
70,10,21
71,00,16
72,00,20
73,02,6
74,12,44
75,12,33
76,00,23
77,01,5
78,00,13
79,00,248
80,12,56
81,05,19
82,11,33
83,02,17
84,00,4
85,00,10
86,00,1
87,10,42
88,00,14
89,12,42
90,00,69
91,00,15
92,00,38
93,01,3
94,00,5
95,00,43
96,00,1
97,00,38
98,00,7
99,00,0
100,00,39
101,11,5
102,12,26
103,00,0
104,00,0
105,00,0
106,12,31
107,00,114
108,11,6
109,03,4
110,00,0
111,03,1
112,11,58
113,00,65
114,00,106
115,11,3
116,12,29
117,03,3
118,00,3
119,01,9
120,01,2
121,11,10
122,05,2
123,02,12
124,00,5
125,11,19
126,11,5
127,12,42
128,10,3
129,00,42
130,00,18
131,04,7
132,00,170
133,07,12
134,12,11
135,12,10
136,00,23
137,10,50
138,10,94
139,00,2
140,12,61
141,10,68
142,11,109
143,10,44
144,00,77
145,00,45
146,11,15
147,01,4
148,00,186
149,03,11
150,00,6
151,12,33
152,00,18
153,12,5
154,12,2
155,01,14
156,08,5
157,04,23
158,00,115
159,00,6
160,02,32
161,00,69
162,12,66
163,00,92
164,00,126
165,08,15
166,12,47
167,03,6
168,10,9
169,00,9
170,11,80
171,01,17
172,03,3
173,00,31
174,02,9
175,04,5
176,01,3
177,01,23
178,12,6
179,12,23
180,10,5
181,12,97
182,10,7
183,00,5
184,00,1
185,00,9
186,00,70
187,00,5
188,10,43
189,11,38
190,10,14
191,07,8
192,08,8
193,11,5
194,00,0
195,00,16
196,12,16
197,04,25
198,12,78
199,00,0
200,04,8
201,02,9
202,10,7
203,09,4
204,02,1
205,12,11
206,12,9
207,01,1
208,03,7
209,00,17
210,00,9
211,00,65
212,10,3
213,01,7
214,02,1
215,08,8
216,04,16
217,00,10
218,09,5
219,12,7
220,01,11
221,06,4
222,12,3
223,03,49
224,12,39
225,11,56
226,04,41
227,11,15
228,02,24
229,12,70
230,00,111
231,11,84
232,12,41
233,12,44
234,00,114
235,02,11
236,12,64
237,12,73
238,12,56
239,00,116
240,00,2
241,00,35
242,00,6
243,12,42
244,12,59
245,02,23
246,00,74
247,12,10
248,01,5
249,00,116
250,00,6
251,02,7
252,02,10
253,11,3
254,01,18
255,00,107
256,01,82
257,11,20
258,00,11
259,01,16
260,02,27
261,12,25
262,12,51
263,12,79
