p_id,p_hour,ycount
1,06,1
2,00,0
3,00,0
4,09,35
5,08,1
6,00,0
7,07,27
8,09,1
9,11,2
10,09,7
11,12,2
12,12,19
13,08,200
14,08,2
15,09,1
16,08,1
17,03,5
18,10,2
19,06,1
20,10,1
21,07,1
22,00,1
23,00,0
24,08,60
25,07,24
26,09,2
27,00,0
28,07,2
29,00,0
30,00,0
31,00,0
32,01,1
33,07,29
34,00,0
35,07,2
36,00,2
37,00,6
38,05,1
39,05,2
40,08,26
41,08,82
42,08,40
43,08,237
44,00,0
45,12,44
46,00,0
47,07,2
48,06,468
49,08,5
50,08,177
51,08,3
52,08,31
53,00,1
54,08,3
55,09,2
56,09,2
57,00,0
58,00,0
59,00,0
60,00,0
61,08,3
62,08,2
63,09,2
64,09,1
65,07,26
66,08,10
67,07,1
68,12,291
69,08,2
70,12,6
71,05,2
72,08,1
73,00,0
74,08,58
75,09,116
76,00,2
77,08,1
78,03,1
79,00,385
80,00,7
81,07,1
82,00,5
83,04,3
84,00,0
85,03,1
86,00,0
87,09,134
88,12,75
89,09,3
90,09,279
91,08,3
92,01,2
93,00,3
94,00,0
95,05,4
96,00,0
97,00,17
98,09,1
99,00,0
100,07,505
101,04,1
102,01,1
103,00,0
104,00,0
105,00,0
106,01,3
107,07,432
108,10,1
109,00,0
110,00,0
111,01,1
112,00,10
113,09,257
114,00,197
115,00,1
116,08,30
117,00,0
118,00,0
119,02,1
120,01,1
121,07,1
122,00,0
123,09,2
124,06,1
125,11,89
126,00,0
127,01,1
128,00,0
129,05,15
130,06,3
131,06,1
132,00,500
133,08,6
134,12,2
135,00,1
136,00,0
137,08,248
138,00,563
139,10,1
140,08,427
141,08,475
142,08,444
143,08,204
144,00,139
145,00,13
146,07,16
147,06,1
148,00,248
149,08,4
150,07,1
151,08,190
152,08,17
153,00,1
154,00,0
155,09,1
156,12,1
157,08,4
158,00,151
159,00,1
160,10,1
161,12,722
162,12,613
163,12,439
164,08,359
165,01,1
166,08,79
167,08,2
168,03,2
169,06,1
170,11,641
171,06,1
172,00,0
173,00,1
174,00,0
175,09,2
176,00,0
177,07,2
178,10,1
179,07,14
180,04,1
181,08,15
182,01,1
183,00,0
184,00,0
185,00,1
186,06,668
187,00,0
188,00,4
189,08,3
190,00,1
191,00,1
192,11,1
193,07,15
194,06,2
195,09,1
196,08,4
197,05,2
198,01,2
199,00,0
200,00,1
201,00,0
202,00,2
203,00,0
204,00,0
205,06,4
206,00,0
207,08,1
208,07,2
209,08,30
210,05,1
211,12,105
212,01,1
213,09,3
214,00,0
215,06,3
216,06,4
217,04,1
218,04,1
219,07,2
220,10,2
221,00,0
222,09,2
223,07,11
224,07,39
225,00,3
226,06,40
227,07,2
228,11,2
229,08,453
230,12,470
231,12,240
232,00,31
233,08,266
234,12,386
235,11,1
236,08,766
237,12,799
238,08,340
239,12,422
240,00,0
241,07,1
242,04,1
243,00,4
244,07,17
245,00,0
246,08,210
247,06,4
248,05,3
249,00,268
250,01,1
251,00,0
252,07,1
253,00,0
254,05,2
255,00,21
256,00,27
257,00,1
258,08,2
259,10,2
260,07,20
261,12,111
262,07,330
263,09,312
