p_id,p_hour,fcount
1,06,6
2,00,0
3,12,56
4,00,242
5,12,9
6,12,19
7,00,503
8,10,3
9,00,20
10,12,70
11,11,33
12,12,8
13,12,166
14,00,205
15,12,18
16,02,106
17,00,429
18,00,125
19,12,18
20,00,105
21,12,75
22,10,86
23,12,41
24,11,76
25,00,301
26,12,143
27,00,3
28,11,61
29,01,63
30,01,2
31,12,19
32,12,63
33,00,242
34,02,17
35,11,178
36,01,689
37,00,745
38,11,28
39,10,260
40,00,123
41,00,339
42,00,326
43,12,154
44,02,18
45,00,144
46,00,9
47,02,79
48,00,721
49,00,426
50,02,300
51,00,120
52,00,66
53,00,51
54,00,30
55,00,45
56,09,108
57,00,14
58,10,9
59,00,5
60,00,61
61,00,756
62,00,148
63,00,102
64,00,17
65,12,167
66,00,145
67,12,54
68,01,551
69,00,153
70,10,68
71,10,143
72,00,177
73,10,36
74,00,293
75,00,171
76,00,334
77,00,96
78,00,126
79,00,1490
80,03,751
81,11,75
82,00,198
83,00,94
84,01,21
85,00,105
86,09,29
87,00,266
88,00,79
89,00,291
90,00,332
91,11,158
92,01,199
93,00,18
94,00,55
95,12,164
96,11,6
97,00,435
98,10,34
99,03,3
100,00,289
101,12,13
102,12,61
103,00,0
104,00,0
105,00,0
106,00,232
107,00,453
108,11,49
109,10,25
110,12,1
111,02,3
112,00,475
113,00,352
114,00,672
115,11,22
116,00,200
117,00,26
118,11,34
119,00,106
120,02,14
121,00,59
122,10,31
123,00,111
124,00,42
125,00,141
126,02,61
127,02,197
128,00,7
129,00,258
130,01,169
131,00,48
132,12,358
133,11,64
134,00,58
135,11,59
136,01,106
137,00,351
138,11,393
139,11,32
140,12,224
141,12,274
142,00,309
143,12,236
144,00,471
145,00,301
146,11,88
147,01,69
148,01,1375
149,12,78
150,00,67
151,11,144
152,00,91
153,00,32
154,11,5
155,12,85
156,10,29
157,12,83
158,01,464
159,00,101
160,00,73
161,00,397
162,11,250
163,00,295
164,00,519
165,11,114
166,11,182
167,00,104
168,00,144
169,00,138
170,00,394
171,00,66
172,00,12
173,00,91
174,00,86
175,10,25
176,09,14
177,00,188
178,10,55
179,01,103
180,01,60
181,00,710
182,12,63
183,01,33
184,00,9
185,00,55
186,11,238
187,11,26
188,00,271
189,00,343
190,12,43
191,11,64
192,11,34
193,05,49
194,09,2
195,00,83
196,09,60
197,04,135
198,00,254
199,00,0
200,00,58
201,00,71
202,11,28
203,11,38
204,11,12
205,11,76
206,11,81
207,08,1
208,00,104
209,00,86
210,00,109
211,00,264
212,00,74
213,00,115
214,12,33
215,10,79
216,03,128
217,01,49
218,11,45
219,11,50
220,00,120
221,12,33
222,12,49
223,00,218
224,11,138
225,00,396
226,00,180
227,00,75
228,12,135
229,11,269
230,00,551
231,00,445
232,01,199
233,12,282
234,00,699
235,00,140
236,12,278
237,12,252
238,12,293
239,00,304
240,00,22
241,00,187
242,00,75
243,00,249
244,00,258
245,00,30
246,00,473
247,00,148
248,00,59
249,00,709
250,00,64
251,12,45
252,00,34
253,00,1
254,11,115
255,00,906
256,00,700
257,00,62
258,01,82
259,00,76
260,00,139
261,00,162
262,11,215
263,00,244
