p_id,p_hour,ycount
1,11,1
2,00,0
3,06,1
4,11,20
5,11,1
6,00,0
7,07,32
8,09,1
9,00,0
10,10,7
11,11,2
12,12,11
13,09,159
14,12,4
15,00,0
16,04,1
17,00,4
18,02,1
19,00,0
20,11,3
21,07,1
22,11,2
23,00,0
24,09,52
25,06,12
26,09,4
27,00,0
28,09,4
29,11,1
30,00,0
31,00,0
32,01,1
33,06,22
34,09,1
35,06,2
36,00,4
37,01,4
38,09,1
39,08,4
40,08,16
41,11,51
42,05,18
43,08,175
44,00,0
45,00,16
46,00,0
47,00,0
48,07,439
49,00,8
50,09,153
51,10,3
52,08,15
53,04,1
54,06,1
55,06,1
56,07,3
57,00,0
58,00,0
59,00,0
60,09,1
61,06,3
62,05,2
63,03,1
64,00,0
65,08,19
66,08,8
67,01,1
68,12,288
69,08,3
70,04,4
71,05,1
72,08,2
73,06,1
74,07,53
75,09,108
76,06,3
77,06,1
78,12,2
79,00,231
80,03,9
81,09,1
82,00,9
83,06,4
84,00,0
85,01,1
86,07,1
87,08,78
88,10,35
89,09,4
90,12,221
91,11,3
92,06,1
93,00,2
94,00,0
95,00,5
96,00,0
97,00,24
98,09,1
99,00,0
100,06,277
101,08,1
102,02,1
103,00,0
104,00,0
105,00,0
106,01,2
107,09,280
108,11,2
109,00,0
110,00,0
111,00,0
112,00,13
113,10,170
114,00,105
115,00,0
116,06,16
117,08,1
118,00,0
119,00,3
120,07,1
121,11,1
122,03,1
123,08,2
124,11,1
125,12,82
126,00,1
127,09,3
128,12,1
129,01,15
130,01,4
131,12,2
132,00,417
133,08,5
134,08,2
135,07,2
136,11,2
137,08,188
138,10,559
139,09,3
140,08,329
141,08,352
142,12,352
143,09,182
144,00,79
145,00,27
146,04,10
147,10,1
148,00,155
149,08,1
150,07,1
151,09,144
152,07,11
153,01,1
154,09,1
155,07,3
156,00,0
157,05,2
158,09,92
159,06,2
160,06,1
161,12,255
162,12,449
163,12,320
164,10,261
165,08,4
166,11,66
167,05,1
168,12,4
169,02,2
170,10,473
171,06,1
172,00,0
173,00,1
174,06,1
175,00,0
176,00,0
177,10,2
178,10,1
179,06,12
180,00,0
181,00,13
182,08,2
183,00,0
184,03,1
185,07,2
186,11,554
187,00,0
188,09,8
189,00,5
190,06,1
191,08,2
192,10,1
193,07,8
194,09,2
195,00,1
196,00,2
197,08,3
198,04,1
199,00,0
200,12,2
201,00,0
202,00,2
203,06,2
204,00,0
205,05,2
206,00,0
207,12,2
208,12,1
209,12,26
210,07,3
211,12,87
212,00,2
213,06,2
214,00,0
215,05,3
216,09,4
217,01,4
218,12,3
219,05,1
220,10,2
221,00,0
222,07,1
223,09,12
224,08,59
225,00,4
226,06,30
227,11,3
228,12,3
229,08,310
230,10,396
231,12,165
232,09,12
233,11,192
234,12,337
235,01,1
236,12,550
237,12,579
238,10,310
239,12,382
240,00,0
241,12,1
242,00,1
243,00,4
244,09,14
245,00,0
246,09,149
247,09,3
248,10,1
249,00,164
250,05,1
251,00,0
252,07,1
253,00,1
254,05,2
255,00,17
256,00,17
257,01,1
258,11,4
259,03,1
260,07,10
261,12,88
262,09,261
263,08,269
