p_id,ycount,gcount,hfcount,fcount,sum
1,1,0,0,47,48
2,0,0,0,1,1
3,0,7,0,381,388
4,206,0,0,1180,1386
5,0,0,0,54,54
6,1,0,0,82,83
7,222,396,0,2248,2866
8,0,0,0,18,18
9,0,6,0,164,170
10,35,15,0,686,736
11,3,8,0,273,284
12,35,0,0,29,64
13,1027,0,0,1126,2153
14,8,32,0,1153,1193
15,1,4,0,148,153
16,0,7,0,433,440
17,25,48,0,1785,1858
18,1,23,0,945,969
19,1,4,0,157,162
20,0,13,0,528,541
21,0,14,0,564,578
22,4,19,0,656,679
23,0,1,0,179,180
24,400,32,0,448,880
25,100,145,0,1109,1354
26,5,13,0,370,388
27,0,1,0,7,8
28,16,9,0,475,500
29,1,20,0,353,374
30,0,0,0,3,3
31,1,1,0,111,113
32,2,19,0,477,498
33,140,274,0,978,1392
34,1,3,0,104,108
35,5,51,0,1334,1390
36,12,14,0,1660,1686
37,26,27,0,2183,2236
38,2,2,0,181,185
39,14,54,0,1957,2025
40,80,66,0,530,676
41,439,512,0,1464,2415
42,220,366,0,2005,2591
43,1553,95,0,660,2308
44,0,0,0,49,49
45,197,0,0,477,674
46,0,0,0,23,23
47,1,14,0,619,634
48,3763,2,0,3387,7152
49,25,100,0,1469,1594
50,974,0,0,1241,2215
51,7,25,0,583,615
52,99,97,0,280,476
53,1,2,0,326,329
54,8,4,0,175,187
55,10,32,0,440,482
56,3,30,0,766,799
57,0,3,0,42,45
58,0,0,0,57,57
59,0,0,0,38,38
60,1,11,0,479,491
61,21,125,0,3148,3294
62,7,32,0,783,822
63,1,9,0,764,774
64,1,0,0,149,150
65,149,125,0,973,1247
66,46,159,0,739,944
67,1,9,0,355,365
68,2231,0,0,2283,4514
69,7,41,0,1135,1183
70,18,15,0,595,628
71,5,28,0,1076,1109
72,10,36,0,1464,1510
73,0,3,0,271,274
74,432,745,0,1621,2798
75,816,590,0,1399,2805
76,15,56,0,2174,2245
77,1,21,0,635,657
78,1,23,0,810,834
79,2080,0,0,2994,5074
80,40,54,0,1781,1875
81,5,7,0,655,667
82,45,285,0,1245,1575
83,20,35,0,439,494
84,0,0,0,57,57
85,5,18,0,670,693
86,2,4,0,174,180
87,755,0,0,1246,2001
88,323,0,0,302,625
89,22,55,0,1942,2019
90,1627,0,0,1579,3206
91,6,26,0,1192,1224
92,5,56,0,1107,1168
93,15,4,0,63,82
94,6,7,0,348,361
95,14,213,0,1115,1342
96,1,0,0,36,37
97,67,176,0,1254,1497
98,3,4,0,245,252
99,0,0,0,4,4
100,2698,2,0,1279,3979
101,2,1,0,164,167
102,0,9,0,481,490
103,0,0,0,0,0
