p_id,ycount,gcount,hfcount,fcount,sum
1,1,0,0,19,20
2,0,0,0,2,2
3,1,4,0,62,67
4,1457,0,0,961,2418
5,0,0,0,2,2
6,2,0,0,11,13
7,1292,1805,0,1343,4440
8,3,0,0,2,5
9,2,1,0,58,61
10,12,1,0,109,122
11,4,1,0,48,53
12,53,0,0,3,56
13,1186,0,0,384,1570
14,28,51,0,315,394
15,0,1,0,31,32
16,6,20,0,209,235
17,560,1034,0,1519,3113
18,7,32,0,172,211
19,3,2,0,30,35
20,5,30,0,125,160
21,11,10,0,103,124
22,5,3,0,85,93
23,0,0,0,40,40
24,732,60,0,171,963
25,396,627,0,635,1658
26,9,5,0,113,127
27,0,0,0,2,2
28,15,25,0,217,257
29,1,3,0,36,40
30,0,0,0,3,3
31,1,3,0,7,11
32,0,8,0,71,79
33,263,329,0,383,975
34,28,13,0,34,75
35,6,21,0,204,231
36,677,888,0,2717,4282
37,1099,1316,0,3692,6107
38,17,0,0,25,42
39,1,13,0,206,220
40,271,314,0,414,999
41,966,1522,0,659,3147
42,472,988,0,668,2128
43,843,28,0,85,956
44,0,0,0,7,7
45,601,0,0,376,977
46,1,1,0,3,5
47,5,28,0,50,83
48,8555,0,0,2476,11031
49,448,853,0,974,2275
50,4599,0,0,1869,6468
51,1,2,0,97,100
52,144,134,0,164,442
53,2,7,0,62,71
54,26,47,0,124,197
55,1,33,0,44,78
56,23,121,0,389,533
57,0,0,0,53,53
58,0,0,0,16,16
59,0,1,0,2,3
60,5,13,0,31,49
61,344,1075,0,2004,3423
62,28,132,0,313,473
63,1,11,0,121,133
64,1,0,0,53,54
65,401,308,0,356,1065
66,151,232,0,279,662
67,7,8,0,57,72
68,5198,0,0,3637,8835
69,21,87,0,130,238
70,36,62,0,310,408
71,7,23,0,184,214
72,6,20,0,179,205
73,0,2,0,63,65
74,1071,846,0,369,2286
75,1473,666,0,322,2461
76,17,30,0,905,952
77,3,15,0,129,147
78,6,34,0,75,115
79,10285,0,0,5852,16137
80,1097,1262,0,2052,4411
81,3,5,0,185,193
82,194,1118,0,446,1758
83,83,227,0,161,471
84,0,0,0,7,7
85,14,48,0,157,219
86,0,0,0,7,7
87,1627,0,0,913,2540
88,597,0,0,264,861
89,90,144,0,503,737
90,4288,0,0,1996,6284
91,6,14,0,161,181
92,29,274,0,259,562
93,14,127,0,167,308
94,2,19,0,56,77
95,57,553,0,371,981
96,2,1,0,11,14
97,512,673,0,651,1836
98,0,3,0,35,38
99,0,0,0,3,3
100,2788,0,0,1152,3940
101,0,0,0,20,20
102,6,18,0,388,412
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,202,381,0,701,1284
107,7025,0,0,2416,9441
108,1,8,0,50,59
109,0,0,0,8,8
110,0,0,0,0,0
111,0,6,0,7,13
112,833,1329,0,1881,4043
113,3008,0,0,1512,4520
114,2623,0,0,2032,4655
115,1,1,0,12,14
116,480,582,0,460,1522
117,0,0,0,4,4
118,1,0,0,15,16
119,6,36,0,101,143
120,1,9,0,10,20
121,5,8,0,163,176
122,1,0,0,11,12
123,5,8,0,106,119
124,2,0,0,53,55
125,1200,0,0,762,1962
126,1,32,0,39,72
127,38,139,0,461,638
128,2,1,0,9,12
129,420,1577,0,693,2690
130,17,295,0,321,633
131,2,2,0,98,102
132,1920,2,0,561,2483
133,31,31,0,135,197
134,12,165,0,153,330
135,4,18,0,109,131
136,8,29,0,243,280
137,3482,0,0,1045,4527
138,1581,4,0,361,1946
139,0,0,0,14,14
140,2098,0,0,539,2637
141,4189,0,0,753,4942
142,3532,0,0,746,4278
143,2002,0,0,601,2603
144,2790,0,0,1859,4649
145,410,582,0,701,1693
