p_id,p_hour,ycount,gcount,hfcount,fcount,sum
1,00,0,0,0,0,0
1,01,0,0,0,0,0
1,02,0,0,0,0,0
1,03,0,0,0,0,0
1,04,1,0,0,0,1
1,05,0,0,0,0,0
1,06,0,0,0,2,2
1,07,0,0,0,2,2
1,08,0,0,0,0,0
1,09,0,0,0,3,3
1,10,0,0,0,0,0
1,11,0,0,0,9,9
1,12,0,0,0,11,11
2,00,0,0,0,0,0
2,01,0,0,0,0,0
2,02,0,0,0,0,0
2,03,0,0,0,0,0
2,04,0,0,0,0,0
2,05,0,0,0,0,0
2,06,0,0,0,0,0
2,07,0,0,0,0,0
2,08,0,0,0,0,0
2,09,0,0,0,0,0
2,10,0,0,0,1,1
2,11,0,0,0,2,2
2,12,0,0,0,2,2
3,00,0,1,0,1,2
3,01,0,0,0,1,1
3,02,0,1,0,0,1
3,03,0,0,0,3,3
3,04,0,0,0,1,1
3,05,0,0,0,3,3
3,06,0,1,0,3,4
3,07,0,1,0,5,6
3,08,0,1,0,4,5
3,09,0,1,0,7,8
3,10,0,1,0,4,5
3,11,0,0,0,4,4
3,12,0,0,0,3,3
4,00,30,0,0,15,45
4,01,9,0,0,10,19
4,02,24,0,0,7,31
4,03,9,0,0,6,15
4,04,12,0,0,10,22
4,05,21,0,0,27,48
4,06,30,0,0,34,64
4,07,40,0,0,55,95
4,08,52,0,0,77,129
4,09,73,0,0,80,153
4,10,49,0,0,54,103
4,11,33,0,0,36,69
4,12,32,0,0,27,59
5,00,0,0,0,0,0
5,01,0,0,0,0,0
5,02,0,0,0,0,0
5,03,0,0,0,0,0
5,04,0,0,0,0,0
5,05,0,0,0,0,0
5,06,0,0,0,0,0
5,07,0,0,0,1,1
5,08,0,0,0,0,0
5,09,0,0,0,0,0
5,10,0,0,0,0,0
5,11,0,0,0,0,0
5,12,0,0,0,0,0
6,00,0,0,0,0,0
6,01,0,0,0,0,0
6,02,0,0,0,0,0
6,03,0,0,0,0,0
6,04,0,0,0,0,0
6,05,0,0,0,0,0
6,06,0,0,0,0,0
6,07,0,0,0,2,2
6,08,0,0,0,0,0
6,09,1,0,0,0,1
6,10,0,0,0,3,3
6,11,0,0,0,1,1
6,12,0,0,0,2,2
7,00,41,54,0,39,134
7,01,24,46,0,35,105
7,02,14,41,0,22,77
7,03,19,22,0,14,55
7,04,28,27,0,16,71
