p_id,p_hour,ycount
1,05,1
2,00,0
3,00,0
4,08,73
5,00,0
6,00,0
7,07,83
8,07,1
9,00,0
10,10,3
11,07,1
12,12,7
13,08,433
14,12,4
15,00,0
16,00,0
17,01,12
18,09,1
19,00,0
20,00,0
21,08,2
22,06,1
23,00,0
24,08,100
25,07,32
26,06,1
27,00,0
28,07,3
29,08,1
30,00,0
31,07,1
32,06,1
33,08,69
34,09,3
35,00,0
36,01,4
37,00,11
38,00,0
39,08,1
40,08,66
41,07,135
42,07,67
43,08,339
44,00,0
45,11,48
46,00,0
47,00,1
48,07,832
49,00,11
50,09,267
51,00,0
52,08,64
53,00,0
54,08,8
55,00,0
56,00,1
57,00,0
58,00,0
59,00,0
60,04,1
61,00,11
62,00,3
63,00,0
64,00,0
65,08,36
66,08,24
67,06,1
68,09,621
69,08,2
70,08,9
71,09,1
72,01,1
73,01,1
74,07,123
75,07,211
76,00,1
77,00,0
78,00,0
79,09,465
80,00,29
81,00,0
82,07,13
83,00,5
84,00,0
85,08,2
86,00,0
87,08,205
88,08,60
89,08,7
90,09,443
91,12,1
92,09,3
93,07,4
94,00,0
95,06,7
96,00,0
97,07,22
98,10,1
99,00,0
100,09,483
101,00,0
102,08,2
103,00,0
104,00,0
105,00,0
106,11,6
107,08,613
108,00,0
109,00,0
110,00,0
111,07,1
112,01,17
113,08,485
114,09,197
115,00,0
116,07,40
117,06,2
118,00,0
119,00,0
120,00,0
121,06,1
122,00,0
123,06,1
124,00,0
125,08,137
126,09,1
127,07,3
128,00,0
129,06,18
130,06,2
131,07,1
132,06,277
133,07,4
134,00,2
135,07,2
136,08,1
137,08,412
138,10,677
139,09,1
140,08,717
141,08,769
142,08,629
143,08,333
144,11,153
145,12,20
146,08,27
147,00,0
148,00,145
149,08,1
150,00,0
151,08,278
152,08,20
153,00,0
154,00,0
155,06,1
156,00,0
157,00,2
158,08,347
159,07,3
160,01,1
161,12,844
162,08,797
163,12,534
164,12,446
165,07,4
166,08,150
167,07,2
168,11,6
169,05,1
170,08,880
171,00,0
172,00,0
173,00,2
174,04,1
175,00,0
176,00,0
177,08,4
178,06,1
179,07,38
180,10,1
181,07,37
182,00,0
183,00,0
184,00,0
185,00,1
186,09,800
187,00,0
188,02,5
189,00,11
190,00,1
191,05,1
192,01,1
193,07,15
194,09,1
195,07,2
196,06,9
197,07,2
198,00,1
199,00,0
200,08,1
201,00,0
202,05,1
203,07,1
204,00,0
205,02,1
206,00,0
207,10,1
208,06,1
209,08,42
210,00,0
211,11,142
212,07,1
213,09,1
214,12,1
215,06,2
216,05,2
217,03,3
218,00,0
219,12,3
220,00,2
221,00,0
222,00,0
223,08,49
224,07,100
225,00,8
226,07,97
227,07,1
228,08,6
229,08,653
230,12,512
231,08,476
232,00,29
233,08,420
234,08,626
235,08,1
236,08,1203
237,08,1181
238,08,530
239,12,499
240,04,1
241,09,1
242,01,1
243,06,4
244,07,33
245,00,0
246,09,392
247,07,5
248,07,1
249,09,419
250,07,1
251,02,2
252,00,0
253,00,0
254,05,1
255,00,55
256,00,31
257,08,6
258,07,1
259,00,0
260,07,51
261,08,85
262,07,390
263,07,411
