p_id,p_hour,fcount
1,10,7
2,00,0
3,08,69
4,08,273
5,10,11
6,08,20
7,08,298
8,06,3
9,09,35
10,08,126
11,08,42
12,11,10
13,08,249
14,09,189
15,08,31
16,08,62
17,09,231
18,08,152
19,09,33
20,08,76
21,08,134
22,08,113
23,09,41
24,08,72
25,08,189
26,09,196
27,00,2
28,08,86
29,12,68
30,00,1
31,08,19
32,08,94
33,09,240
34,12,34
35,08,222
36,00,259
37,00,258
38,08,43
39,08,357
40,08,90
41,08,198
42,08,351
43,12,135
44,08,8
45,00,74
46,12,6
47,08,134
48,08,539
49,09,222
50,08,290
51,08,103
52,08,62
53,09,51
54,08,34
55,09,87
56,08,140
57,08,8
58,09,10
59,08,12
60,08,97
61,09,461
62,09,136
63,08,120
64,10,23
65,09,165
66,08,152
67,08,66
68,09,366
69,08,201
70,08,111
71,08,166
72,08,251
73,08,40
74,08,284
75,08,232
76,08,334
77,08,103
78,08,132
79,09,524
80,00,293
81,08,93
82,08,172
83,07,57
84,12,11
85,08,98
86,09,56
87,08,246
88,00,75
89,08,295
90,09,307
91,08,225
92,00,114
93,00,16
94,08,57
95,08,199
96,07,12
97,09,228
98,09,47
99,01,2
100,00,263
101,08,27
102,08,110
103,00,0
104,00,0
105,00,0
106,00,56
107,08,463
108,08,54
109,08,14
110,08,1
111,12,3
112,09,304
113,09,223
114,00,229
115,08,27
116,08,175
117,08,33
118,12,30
119,08,159
120,08,20
121,08,73
122,08,44
123,08,109
124,08,48
125,00,126
126,08,81
127,08,86
128,08,11
129,07,248
130,10,134
131,08,57
132,00,650
133,09,93
134,08,81
135,08,65
136,08,79
137,08,385
138,10,497
139,09,51
140,08,394
141,08,414
142,09,321
143,09,405
144,09,190
145,09,166
146,08,89
147,08,116
148,00,512
149,08,99
150,08,58
151,08,173
152,09,129
153,08,24
154,09,9
155,08,127
156,08,46
157,08,101
158,09,237
159,08,133
160,07,84
161,00,459
162,12,281
163,11,246
164,00,365
165,08,132
166,08,158
167,08,163
168,08,173
169,08,179
170,08,450
171,08,67
172,08,13
173,08,75
174,08,129
175,08,38
176,11,10
177,08,142
178,08,54
179,08,144
180,08,51
181,08,341
182,08,111
183,08,38
184,00,6
185,08,107
186,09,235
187,08,26
188,08,260
189,08,111
190,12,39
191,08,113
192,09,45
193,08,44
194,09,4
195,09,67
196,08,79
197,08,123
198,08,192
199,00,1
200,08,67
201,10,17
202,08,21
203,08,62
204,08,6
205,07,122
206,09,54
207,04,1
208,08,95
209,08,74
210,08,114
211,00,154
212,08,87
213,08,161
214,08,19
215,08,134
216,08,210
217,10,63
218,08,86
219,08,63
220,08,124
221,07,44
222,08,84
223,08,207
224,08,201
225,07,287
226,08,198
227,08,86
228,09,122
229,08,386
230,00,395
231,08,415
232,09,282
233,08,359
234,12,327
235,08,178
236,08,362
237,09,325
238,08,390
239,08,351
240,08,39
241,08,132
242,08,107
243,08,216
244,08,249
245,08,27
246,08,447
247,08,127
248,08,89
249,09,442
250,08,67
251,10,18
252,08,42
253,00,26
254,08,146
255,00,317
256,00,335
257,09,60
258,08,108
259,07,87
260,08,105
261,12,101
262,08,410
263,08,338
