p_id,p_hour,fcount
1,10,12
2,05,1
3,09,13
4,12,47
5,06,2
6,10,2
7,09,78
8,11,1
9,08,7
10,10,13
11,09,12
12,10,2
13,12,67
14,08,55
15,09,5
16,02,23
17,10,62
18,10,15
19,08,5
20,11,9
21,11,19
22,11,25
23,00,4
24,12,27
25,12,39
26,09,46
27,00,0
28,07,12
29,10,9
30,00,0
31,12,5
32,00,8
33,10,40
34,10,4
35,12,15
36,00,68
37,12,79
38,07,5
39,00,34
40,12,28
41,12,60
42,12,51
43,12,15
44,06,2
45,11,25
46,11,1
47,12,7
48,12,113
49,10,58
50,09,52
51,11,25
52,11,18
53,08,8
54,00,8
55,09,9
56,08,35
57,09,3
58,12,2
59,11,1
60,09,6
61,10,90
62,12,31
63,07,15
64,00,4
65,11,34
66,08,23
67,07,21
68,12,99
69,09,14
70,08,29
71,00,48
72,00,37
73,12,12
74,08,42
75,12,41
76,10,30
77,00,9
78,08,13
79,00,138
80,00,74
81,08,44
82,12,50
83,11,17
84,00,2
85,10,11
86,12,3
87,12,73
88,12,18
89,09,52
90,12,67
91,00,41
92,12,32
93,00,3
94,08,6
95,10,39
96,06,1
97,00,47
98,01,7
99,00,1
100,12,57
101,11,5
102,08,51
103,00,0
104,00,0
105,00,0
106,12,25
107,12,90
108,01,10
109,02,2
110,00,0
111,11,2
112,12,70
113,11,70
114,00,87
115,12,3
116,08,35
117,01,2
118,11,5
119,08,20
120,12,2
121,09,15
122,10,5
123,08,35
124,07,5
125,12,28
126,06,5
127,09,33
128,00,3
129,12,61
130,00,21
131,08,7
132,00,170
133,08,14
134,07,15
135,08,19
136,09,25
137,10,62
138,00,151
139,09,6
140,11,72
141,08,104
142,12,72
143,09,61
144,12,89
145,09,61
146,12,15
147,08,5
148,00,97
149,12,21
150,00,8
151,10,36
152,00,29
153,09,8
154,12,2
155,00,11
156,09,9
157,08,26
158,00,57
159,08,12
160,00,26
161,12,159
162,12,90
163,12,87
164,00,87
165,08,26
166,12,48
167,08,8
168,08,10
169,09,10
170,12,105
171,10,19
172,11,2
173,07,25
174,11,11
175,11,7
176,08,2
177,09,29
178,08,12
179,11,27
180,08,8
181,11,107
182,08,10
183,02,5
184,10,1
185,08,12
186,12,64
187,07,7
188,10,38
189,09,41
190,10,4
191,08,14
192,08,9
193,10,8
194,00,0
195,12,14
196,08,24
197,11,28
198,09,104
199,00,0
200,12,12
201,09,2
202,07,5
203,00,5
204,02,3
205,07,10
206,12,16
207,00,0
208,00,11
209,08,16
210,12,11
211,12,63
212,03,4
213,07,9
214,01,2
215,09,14
216,07,21
217,08,8
218,08,7
219,11,9
220,09,16
221,10,5
222,08,6
223,12,36
224,11,41
225,09,65
226,09,54
227,08,37
228,11,39
229,12,91
230,00,117
231,12,129
232,09,39
233,12,66
234,12,124
235,08,15
236,12,95
237,12,105
238,08,70
239,12,91
240,09,3
241,08,61
242,07,6
243,09,53
244,09,42
245,00,7
246,11,73
247,12,12
248,08,6
249,12,99
250,12,6
251,00,6
252,00,7
253,00,1
254,11,35
255,01,77
256,00,86
257,12,20
258,08,17
259,08,17
260,12,27
261,12,26
262,08,71
263,12,90
