p_id,ycount,gcount,hfcount,fcount,sum
1,0,0,0,29,29
2,0,0,0,1,1
3,3,10,0,383,396
4,281,0,0,1366,1647
5,0,0,0,38,38
6,0,0,0,61,61
7,268,482,0,2171,2921
8,4,0,0,15,19
9,0,1,0,201,202
10,22,5,0,607,634
11,2,4,0,239,245
12,35,0,0,24,59
13,1288,0,0,1507,2795
14,6,25,0,1087,1118
15,2,1,0,170,173
16,0,2,0,404,406
17,19,89,0,1890,1998
18,1,18,0,825,844
19,2,2,0,152,156
20,1,10,0,576,587
21,1,12,0,567,580
22,0,15,0,663,678
23,0,0,0,187,187
24,441,44,0,480,965
25,135,194,0,1247,1576
26,4,21,0,1077,1102
27,0,0,0,0,0
28,7,10,0,468,485
29,0,10,0,377,387
30,0,0,0,4,4
31,0,1,0,102,103
32,2,9,0,478,489
33,157,315,0,1230,1702
34,2,3,0,142,147
35,2,31,0,1255,1288
36,15,65,0,1762,1842
37,31,32,0,2376,2439
38,1,0,0,141,142
39,4,37,0,1858,1899
40,106,82,0,518,706
41,510,643,0,1687,2840
42,293,403,0,2080,2776
43,1630,114,0,696,2440
44,0,0,0,36,36
45,189,0,0,511,700
46,0,1,0,22,23
47,3,3,0,621,627
48,4482,0,0,3562,8044
49,34,127,0,1625,1786
50,1408,0,0,1688,3096
51,0,13,0,604,617
52,106,125,0,338,569
53,1,1,0,304,306
54,8,7,0,193,208
55,0,25,0,423,448
56,4,17,0,727,748
57,0,0,0,40,40
58,0,3,0,54,57
59,0,0,0,33,33
60,1,6,0,405,412
61,14,105,0,3376,3495
62,5,32,0,989,1026
63,1,2,0,648,651
64,0,1,0,147,148
65,158,154,0,1072,1384
66,53,185,0,771,1009
67,2,5,0,400,407
68,3109,1,0,2706,5816
69,6,40,0,1128,1174
70,13,12,0,480,505
71,3,19,0,956,978
72,1,31,0,1305,1337
73,0,0,0,246,246
74,512,730,0,1592,2834
75,954,645,0,1481,3080
76,8,45,0,2186,2239
77,2,14,0,627,643
78,0,11,0,713,724
79,3187,0,0,4243,7430
80,55,69,0,1686,1810
81,0,11,0,562,573
82,40,340,0,1268,1648
83,10,59,0,424,493
84,0,0,0,67,67
85,6,14,0,629,649
86,0,0,0,215,215
87,940,0,0,1666,2606
88,403,0,0,377,780
89,13,47,0,1803,1863
90,2278,1,0,1939,4218
91,6,30,0,1199,1235
92,6,66,0,1132,1204
93,10,3,0,96,109
94,0,8,0,321,329
95,19,203,0,1256,1478
96,0,2,0,36,38
97,109,186,0,1442,1737
98,0,0,0,253,253
99,0,0,0,11,11
100,3493,1,0,1729,5223
101,1,1,0,151,153
102,3,5,0,505,513
103,0,0,0,0,0
104,0,0,0,0,0
105,1,0,0,0,1
106,16,18,0,375,409
107,3179,0,0,2783,5962
108,2,11,0,334,347
109,0,0,0,67,67
110,0,0,0,2,2
111,0,0,0,17,17
112,34,70,0,2001,2105
113,1919,0,0,1810,3729
114,1489,0,0,1654,3143
115,0,0,0,145,145
116,186,192,0,1104,1482
117,0,0,0,181,181
118,0,0,0,114,114
119,11,15,0,737,763
120,0,2,0,95,97
121,2,10,0,558,570
122,1,4,0,229,234
123,2,18,0,692,712
124,0,4,0,240,244
125,782,0,0,817,1599
126,2,7,0,473,482
127,15,42,0,704,761
128,0,1,0,42,43
129,70,225,0,1661,1956
130,9,122,0,1007,1138
131,0,6,0,337,343
132,2023,0,0,3158,5181
133,4,7,0,503,514
134,4,52,0,461,517
135,4,9,0,450,463
136,2,19,0,522,543
137,1954,0,0,2268,4222
138,2572,0,0,2140,4712
139,0,0,0,294,294
140,2466,0,0,1972,4438
141,3249,0,0,2184,5433
142,3304,0,0,2060,5364
143,1732,0,0,1864,3596
144,1005,0,0,1756,2761
145,68,163,0,1164,1395
146,117,51,0,433,601
147,0,11,0,412,423
148,1647,0,0,2870,4517
149,0,7,0,517,524
150,0,4,0,247,251
151,1272,1,0,1108,2381
152,154,113,0,683,950
153,2,6,0,112,120
154,2,0,0,9,11
155,0,24,0,686,710
156,0,0,0,174,174
157,9,7,0,564,580
158,1234,0,0,1561,2795
159,8,30,0,748,786
160,0,2,0,469,471
161,4292,0,0,2619,6911
162,3877,1,0,1711,5589
163,2864,0,0,1562,4426
164,3031,0,0,2270,5301
165,1,16,0,779,796
166,690,435,0,1312,2437
167,2,19,0,783,804
168,15,30,0,876,921
169,2,11,0,878,891
170,4360,1,0,2607,6968
171,2,6,0,449,457
172,0,0,0,65,65
173,5,18,0,537,560
174,3,17,0,734,754
175,0,2,0,205,207
176,0,0,0,39,39
177,0,29,0,1010,1039
178,0,4,0,326,330
179,121,90,0,753,964
180,1,2,0,262,265
181,97,187,0,2225,2509
182,0,24,0,473,497
183,0,3,0,187,190
184,0,1,0,32,33
185,0,11,0,518,529
186,4869,1,0,1603,6473
187,0,0,0,104,104
188,15,38,0,1670,1723
189,20,30,0,816,866
190,2,3,0,109,114
191,0,10,0,457,467
192,1,3,0,299,303
193,68,35,0,248,351
194,2,0,0,6,8
195,6,8,0,350,364
196,15,62,0,420,497
197,5,15,0,780,800
198,2,8,0,1345,1355
199,0,0,0,0,0
200,1,1,0,420,422
201,0,0,0,49,49
202,7,1,0,153,161
203,0,2,0,318,320
204,0,0,0,39,39
205,2,5,0,706,713
206,0,0,0,351,351
207,11,0,0,1,12
208,0,10,0,559,569
209,197,0,0,507,704
210,1,27,0,761,789
211,722,0,0,1163,1885
212,1,15,0,458,474
213,0,37,0,921,958
214,0,0,0,114,114
215,4,12,0,581,597
216,13,12,0,1039,1064
217,11,8,0,313,332
218,5,4,0,405,414
219,5,0,0,393,398
220,5,14,0,616,635
221,0,0,0,212,212
222,1,9,0,318,328
223,66,218,0,1138,1422
224,433,0,0,1105,1538
225,13,38,0,2070,2121
226,304,75,0,1179,1558
227,1,9,0,436,446
228,8,22,0,781,811
229,2537,1,0,1976,4514
230,3966,1,0,2367,6334
231,2101,0,0,2847,4948
232,157,0,0,1393,1550
233,1660,0,0,1800,3460
