p_id,ycount,gcount,hfcount,fcount,sum
1,1,0,0,0,1
2,0,0,0,0,0
3,0,4,0,0,4
4,534,0,0,0,534
5,0,0,0,0,0
6,0,0,0,0,0
7,405,724,0,0,1129
8,3,2,0,0,5
9,0,0,0,0,0
10,22,1,0,0,23
11,1,3,0,0,4
12,37,0,0,0,37
13,1893,0,0,0,1893
14,9,9,0,0,18
15,0,0,0,0,0
16,0,1,0,0,1
17,59,237,0,0,296
18,6,60,0,0,66
19,0,0,0,0,0
20,1,34,0,0,35
21,3,3,0,0,6
22,3,3,0,0,6
23,0,0,0,0,0
24,571,67,0,0,638
25,233,320,0,0,553
26,0,9,0,0,9
27,0,0,0,0,0
28,12,13,0,0,25
29,6,7,0,0,13
30,0,1,0,0,1
31,0,6,0,0,6
32,2,9,0,0,11
33,285,383,0,0,668
34,0,16,0,0,16
35,3,16,0,0,19
36,43,28,0,0,71
37,94,96,0,0,190
38,0,0,0,0,0
39,0,6,0,0,6
40,165,172,0,0,337
41,586,902,0,0,1488
42,263,689,0,0,952
43,2267,143,0,0,2410
44,0,0,0,0,0
45,340,0,0,0,340
46,0,0,0,0,0
47,3,40,0,0,43
48,5553,0,0,0,5553
49,79,357,0,0,436
50,1896,0,0,0,1896
51,0,2,0,0,2
52,162,161,0,0,323
53,0,4,0,0,4
54,11,21,0,0,32
55,0,27,0,0,27
56,4,33,0,0,37
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,13,0,0,13
61,43,254,0,0,297
62,9,56,0,0,65
63,5,4,0,0,9
64,0,1,0,0,1
65,231,208,0,0,439
66,91,296,0,0,387
67,0,1,0,0,1
68,4354,0,0,0,4354
69,5,80,0,0,85
70,24,35,0,0,59
71,1,23,0,0,24
72,1,8,0,0,9
73,0,0,0,0,0
74,573,915,0,0,1488
75,1117,813,0,0,1930
76,5,11,0,0,16
77,0,9,0,0,9
78,1,41,0,0,42
79,4559,0,0,0,4559
80,133,157,0,0,290
81,0,0,0,0,0
82,87,589,0,0,676
83,25,56,0,0,81
84,0,0,0,0,0
85,10,26,0,0,36
86,0,0,0,0,0
87,1347,0,0,0,1347
88,521,0,0,0,521
89,20,50,0,0,70
90,3275,0,0,0,3275
91,0,10,0,0,10
92,7,148,0,0,155
93,10,4,0,0,14
94,1,27,0,0,28
95,51,312,0,0,363
96,0,0,0,0,0
97,150,457,0,0,607
98,2,0,0,0,2
99,0,0,0,0,0
100,3613,0,0,0,3613
101,0,0,0,0,0
102,2,3,0,0,5
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,43,40,0,0,83
107,4390,0,0,0,4390
108,0,2,0,0,2
109,0,0,0,0,0
