p_id,p_hour,fcount
1,11,4
2,12,2
3,08,86
4,08,275
5,09,12
6,08,24
7,08,334
8,05,3
9,08,37
10,08,150
11,08,59
12,11,6
13,08,282
14,08,225
15,08,35
16,08,72
17,08,271
18,08,208
19,08,35
20,12,99
21,08,129
22,08,146
23,07,47
24,07,75
25,08,192
26,12,186
27,07,1
28,08,97
29,08,72
30,06,2
31,08,30
32,08,109
33,09,179
34,10,24
35,08,259
36,00,277
37,07,300
38,08,50
39,08,362
40,08,106
41,08,249
42,08,365
43,12,134
44,10,13
45,00,97
46,06,5
47,08,171
48,08,506
49,08,289
50,08,309
51,08,125
52,09,61
53,09,66
54,09,44
55,08,81
56,08,154
57,08,8
58,08,19
59,07,10
60,07,93
61,08,603
62,08,162
63,08,125
64,08,34
65,09,159
66,12,134
67,07,81
68,08,360
69,08,212
70,08,129
71,08,191
72,08,270
73,08,45
74,08,299
75,08,282
76,08,403
77,08,122
78,08,189
79,00,631
80,00,248
81,08,123
82,08,178
83,08,81
84,10,16
85,08,101
86,08,55
87,08,247
88,00,97
89,08,297
90,08,298
91,08,242
92,00,115
93,12,15
94,08,75
95,08,206
96,09,8
97,09,244
98,08,40
99,10,3
100,12,238
101,11,38
102,08,118
103,00,0
104,00,0
105,00,0
106,00,70
107,09,434
108,08,57
109,12,18
110,00,1
111,07,6
112,09,318
113,12,226
114,00,312
115,07,33
116,07,191
117,08,50
118,12,33
119,08,200
120,08,27
121,08,90
122,08,61
123,08,120
124,08,53
125,12,135
126,08,101
127,08,118
128,07,9
129,08,283
130,08,156
131,07,70
132,00,609
133,08,103
134,07,70
135,09,88
136,08,125
137,08,450
138,12,696
139,08,59
140,08,433
141,08,442
142,08,326
143,08,446
144,00,279
145,08,197
146,12,73
147,08,135
148,00,589
149,08,113
150,08,51
151,07,218
152,09,94
153,08,25
154,09,5
155,08,125
156,08,57
157,08,117
158,00,250
159,08,181
160,07,93
161,00,548
162,12,291
163,12,258
164,00,386
165,08,167
166,12,236
167,08,198
168,08,221
169,08,214
170,08,402
171,08,85
172,08,19
173,08,91
174,08,161
175,08,49
176,08,10
177,07,189
178,08,57
179,08,144
180,08,57
181,09,334
182,08,131
183,08,43
184,01,8
185,09,115
186,09,233
187,08,29
188,08,283
189,07,118
190,12,26
191,08,102
192,07,57
193,07,53
194,06,4
195,08,66
196,08,79
197,08,153
198,08,235
199,00,0
200,08,92
201,08,16
202,08,25
203,08,87
204,08,7
205,08,156
206,09,74
207,07,2
208,08,146
209,00,75
210,08,150
211,12,158
212,08,99
213,08,223
214,08,32
215,08,138
216,07,220
217,10,49
218,08,85
219,08,67
220,08,142
221,08,51
222,08,69
223,07,241
224,09,226
225,08,350
226,08,223
227,08,89
228,09,121
229,08,365
230,00,464
231,08,444
232,08,261
233,08,377
234,12,426
235,08,229
236,07,452
237,08,406
238,08,451
239,08,421
240,08,32
241,08,165
242,12,151
243,08,251
244,08,302
245,01,32
246,08,428
247,08,143
248,08,112
249,00,433
250,08,113
251,08,24
252,08,58
253,10,4
254,08,178
255,00,472
256,00,250
257,08,72
258,08,120
259,08,129
260,08,129
261,12,140
262,08,436
263,08,414
