p_id,p_hour,fcount
1,12,5
2,02,1
3,00,40
4,00,253
5,02,9
6,10,10
7,00,472
8,00,4
9,09,21
10,11,69
11,11,25
12,12,9
13,11,160
14,00,178
15,12,19
16,03,94
17,00,395
18,00,134
19,12,14
20,01,73
21,09,74
22,11,91
23,12,22
24,00,71
25,00,328
26,12,138
27,00,1
28,10,54
29,00,87
30,00,6
31,11,15
32,10,54
33,00,203
34,00,14
35,10,133
36,00,647
37,00,665
38,10,22
39,11,243
40,00,145
41,00,225
42,00,300
43,12,165
44,00,23
45,00,137
46,00,7
47,00,77
48,00,719
49,00,449
50,01,264
51,00,92
52,00,76
53,09,36
54,12,28
55,00,54
56,10,104
57,00,5
58,11,8
59,01,3
60,00,59
61,00,823
62,00,144
63,00,82
64,00,14
65,00,192
66,00,144
67,12,45
68,00,529
69,00,122
70,11,57
71,11,132
72,00,183
73,10,32
74,00,228
75,10,192
76,00,253
77,11,85
78,00,99
79,00,1526
80,00,585
81,10,69
82,00,170
83,10,56
84,03,23
85,00,92
86,00,22
87,00,289
88,00,87
89,00,279
90,00,361
91,10,149
92,03,178
93,03,21
94,00,56
95,00,138
96,10,10
97,00,371
98,01,39
99,00,2
100,01,206
101,11,16
102,09,54
103,00,0
104,00,0
105,00,0
106,01,195
107,00,604
108,10,41
109,00,14
110,00,0
111,09,3
112,00,556
113,00,359
114,01,606
115,12,15
116,00,220
117,00,22
118,12,19
119,00,97
120,10,12
121,12,64
122,10,26
123,10,93
124,01,28
125,00,137
126,01,58
127,03,187
128,00,6
129,00,221
130,00,147
131,00,31
132,10,270
133,12,70
134,00,38
135,12,65
136,00,70
137,00,331
138,10,295
139,11,30
140,12,221
141,12,267
142,12,278
143,11,233
144,00,498
145,00,233
146,00,93
147,00,61
148,01,1346
149,11,68
150,00,71
151,11,158
152,00,107
153,01,16
154,03,4
155,00,91
156,10,24
157,11,59
158,00,470
159,00,78
160,00,49
161,12,310
162,12,226
163,00,285
164,00,516
165,11,101
166,12,205
167,00,80
168,00,170
169,01,106
170,00,388
171,00,60
172,12,9
173,01,80
174,00,85
175,10,20
176,00,5
177,00,167
178,12,46
179,00,124
180,01,46
181,00,520
182,00,60
183,00,28
184,09,4
185,00,55
186,12,197
187,10,18
188,00,267
189,00,341
190,12,50
191,10,56
192,12,40
193,12,47
194,12,7
195,12,53
196,12,69
197,04,109
198,03,221
199,00,0
200,00,46
201,01,16
202,00,23
203,12,32
204,00,6
205,09,70
206,10,50
207,10,2
208,00,81
209,01,86
210,00,89
211,00,285
212,00,50
213,00,98
214,00,11
215,11,60
216,00,92
217,11,48
218,10,51
219,10,49
220,12,97
221,00,29
222,12,58
223,00,196
224,12,156
225,00,368
226,00,151
227,00,62
228,12,118
229,11,283
230,00,504
231,00,523
232,00,274
233,11,261
234,00,708
235,00,129
236,12,348
237,12,316
238,11,305
239,12,325
240,00,25
241,00,97
242,01,65
243,00,224
244,00,216
245,01,58
246,00,360
247,00,126
248,00,62
249,00,800
250,00,62
251,00,17
252,10,27
253,09,1
254,11,94
255,00,907
256,00,734
257,12,59
258,00,83
259,10,75
260,00,110
261,12,139
262,12,200
263,11,268
