p_id,ycount,gcount,hfcount,fcount,sum
1,0,0,0,32,32
2,0,0,0,0,0
3,0,8,0,344,352
4,282,0,0,1326,1608
5,0,0,0,41,41
6,0,0,0,66,66
7,229,438,0,1821,2488
8,1,0,0,17,18
9,0,4,0,175,179
10,17,11,0,546,574
11,0,4,0,229,233
12,36,0,0,19,55
13,1360,0,0,1351,2711
14,4,22,0,983,1009
15,1,0,0,189,190
16,0,3,0,319,322
17,31,102,0,1762,1895
18,0,26,0,746,772
19,1,5,0,141,147
20,0,7,0,467,474
21,1,7,0,545,553
22,3,11,0,656,670
23,0,0,0,158,158
24,403,47,0,430,880
25,124,173,0,1131,1428
26,3,21,0,1124,1148
27,0,0,0,2,2
28,9,12,0,436,457
29,2,8,0,371,381
30,0,0,0,1,1
31,0,2,0,74,76
32,3,10,0,412,425
33,155,312,0,984,1451
34,2,1,0,106,109
35,1,37,0,1151,1189
36,8,21,0,1399,1428
37,21,35,0,1968,2024
38,1,3,0,154,158
39,4,29,0,1710,1743
40,109,88,0,594,791
41,481,582,0,1342,2405
42,281,439,0,1795,2515
43,1766,128,0,678,2572
44,0,0,0,34,34
45,188,0,0,458,646
46,0,0,0,19,19
47,0,13,0,524,537
48,4096,0,0,3094,7190
49,35,135,0,1479,1649
50,1096,0,0,1383,2479
51,1,12,0,471,484
52,127,109,0,280,516
53,0,2,0,227,229
54,4,3,0,183,190
55,2,40,0,393,435
56,6,18,0,633,657
57,0,1,0,21,22
58,0,1,0,50,51
59,0,0,0,43,43
60,0,9,0,384,393
61,11,117,0,3043,3171
62,2,33,0,869,904
63,2,7,0,581,590
64,0,1,0,100,101
65,151,153,0,892,1196
66,55,207,0,733,995
67,3,12,0,372,387
68,2709,0,0,2184,4893
69,6,48,0,1002,1056
70,15,20,0,468,503
71,2,26,0,840,868
72,2,32,0,1095,1129
73,0,3,0,270,273
74,515,815,0,1438,2768
75,971,667,0,1388,3026
76,9,47,0,1870,1926
77,2,16,0,580,598
78,4,19,0,680,703
79,2741,1,0,3417,6159
80,39,60,0,1344,1443
81,2,7,0,514,523
82,42,269,0,972,1283
83,12,44,0,332,388
84,0,0,0,46,46
85,2,15,0,567,584
86,0,1,0,218,219
87,898,0,0,1329,2227
88,416,0,0,386,802
89,15,43,0,1628,1686
90,2133,0,0,1675,3808
91,2,29,0,1114,1145
92,4,68,0,856,928
93,14,1,0,58,73
94,2,14,0,267,283
95,24,218,0,1009,1251
96,1,0,0,49,50
97,101,226,0,1200,1527
