p_id,p_hour,ycount,gcount,hfcount,fcount,sum
1,00,0,0,0,11,11
1,01,0,0,0,5,5
1,02,0,0,0,0,0
1,03,0,0,0,0,0
1,04,0,0,0,0,0
1,05,0,0,0,3,3
1,06,0,0,0,4,4
1,07,0,0,0,4,4
1,08,0,0,0,4,4
1,09,0,0,0,0,0
1,10,0,0,0,3,3
1,11,0,0,0,3,3
1,12,0,0,0,3,3
2,00,0,0,0,0,0
2,01,0,0,0,0,0
2,02,0,0,0,0,0
2,03,0,0,0,0,0
2,04,0,0,0,0,0
2,05,0,0,0,0,0
2,06,0,0,0,0,0
2,07,0,0,0,0,0
2,08,0,0,0,0,0
2,09,0,0,0,0,0
2,10,0,0,0,1,1
2,11,0,0,0,0,0
2,12,0,0,0,0,0
3,00,1,0,0,19,20
3,01,0,0,0,17,17
3,02,0,0,0,7,7
3,03,0,0,0,10,10
3,04,0,0,0,10,10
3,05,0,0,0,17,17
3,06,0,2,0,45,47
3,07,1,2,0,54,57
3,08,0,1,0,73,74
3,09,0,5,0,46,51
3,10,0,2,0,38,40
3,11,0,1,0,38,39
3,12,0,3,0,41,44
4,00,16,0,0,63,79
4,01,12,0,0,45,57
4,02,11,0,0,24,35
4,03,5,0,0,25,30
4,04,6,0,0,41,47
4,05,10,0,0,43,53
4,06,15,0,0,103,118
4,07,35,0,0,211,246
4,08,58,0,0,236,294
4,09,55,0,0,257,312
4,10,20,0,0,144,164
4,11,17,0,0,98,115
4,12,25,0,0,85,110
5,00,0,0,0,3,3
5,01,0,0,0,1,1
5,02,0,0,0,1,1
5,03,0,0,0,3,3
5,04,0,0,0,0,0
5,05,0,0,0,1,1
5,06,0,0,0,2,2
5,07,0,0,0,9,9
5,08,0,0,0,5,5
5,09,0,0,0,8,8
5,10,0,0,0,9,9
5,11,0,0,0,3,3
5,12,0,0,0,9,9
6,00,0,0,0,1,1
6,01,0,0,0,5,5
6,02,0,0,0,2,2
6,03,0,0,0,3,3
6,04,0,0,0,0,0
6,05,0,0,0,5,5
