p_id,p_hour,fcount
1,06,5
2,07,1
3,09,62
4,08,239
5,09,9
6,08,16
7,08,294
8,08,6
9,12,32
10,08,91
11,09,49
12,12,14
13,08,195
14,08,183
15,09,29
16,08,59
17,09,294
18,08,163
19,09,32
20,08,82
21,08,114
22,08,118
23,11,29
24,08,96
25,12,165
26,10,200
27,00,2
28,08,86
29,08,88
30,01,2
31,07,17
32,08,77
33,09,152
34,12,25
35,08,208
36,00,166
37,12,248
38,11,35
39,08,305
40,08,78
41,08,185
42,08,296
43,12,154
44,09,7
45,12,99
46,01,10
47,08,111
48,08,470
49,09,257
50,09,292
51,08,81
52,09,54
53,12,51
54,08,31
55,08,83
56,08,124
57,10,5
58,08,10
59,08,11
60,08,84
61,09,445
62,09,140
63,08,112
64,12,22
65,12,140
66,08,119
67,08,58
68,08,349
69,08,199
70,08,85
71,08,166
72,08,204
73,08,45
74,08,254
75,08,208
76,08,288
77,09,90
78,08,130
79,08,582
80,08,180
81,08,96
82,12,195
83,08,57
84,07,11
85,09,92
86,08,37
87,08,196
88,12,72
89,08,236
90,08,258
91,08,200
92,12,153
93,11,17
94,08,81
95,12,170
96,08,9
97,09,202
98,08,36
99,11,3
100,12,228
101,07,26
102,08,78
103,00,0
104,00,0
105,00,0
106,11,53
107,08,413
108,08,58
109,09,15
110,00,0
111,11,6
112,08,282
113,09,213
114,00,153
115,08,37
116,08,174
117,09,37
118,12,21
119,08,148
120,09,15
121,08,66
122,09,39
123,08,112
124,08,39
125,12,125
126,09,72
127,08,84
128,09,11
129,12,233
130,12,144
131,09,48
132,00,412
133,09,102
134,12,67
135,11,78
136,08,92
137,08,423
138,10,305
139,08,48
140,08,434
141,08,435
142,08,324
143,08,404
144,12,211
145,09,197
146,10,71
147,08,88
148,09,248
149,09,93
150,12,65
151,09,185
152,09,79
153,08,16
154,06,2
155,12,103
156,08,37
157,07,90
158,08,194
159,08,117
160,08,73
161,12,520
162,12,314
163,11,256
164,12,310
165,08,119
166,08,172
167,08,140
168,08,164
169,08,144
170,08,421
171,09,66
172,08,12
173,09,77
174,08,129
175,10,28
176,08,9
177,07,133
178,09,65
179,08,111
180,08,48
181,08,251
182,08,89
183,08,35
184,12,13
185,08,93
186,12,182
187,08,26
188,09,247
189,09,113
190,09,27
191,08,87
192,08,57
193,12,45
194,12,4
195,08,59
196,12,78
197,08,129
198,08,185
199,00,1
200,08,57
201,12,11
202,08,16
203,08,55
204,09,7
205,08,102
206,08,78
207,02,1
208,08,110
209,11,53
210,08,133
211,12,169
212,08,87
213,09,152
214,11,18
215,08,108
216,08,171
217,10,72
218,08,64
219,08,63
220,08,113
221,08,51
222,08,58
223,08,182
224,08,228
225,09,278
226,12,199
227,09,70
228,11,120
229,08,352
230,00,349
231,12,370
232,09,264
233,08,350
234,12,373
235,08,172
236,08,392
237,08,310
238,08,380
239,08,370
240,08,29
241,08,117
242,12,115
243,08,197
244,08,245
245,08,27
246,09,367
247,00,159
248,08,100
249,08,303
250,09,70
251,08,15
252,10,35
253,10,3
254,09,158
255,08,229
256,09,230
257,09,50
258,08,99
259,08,85
260,11,104
261,12,106
262,08,446
263,08,371
