p_id,ycount,gcount,hfcount,fcount,sum
1,2,0,0,42,44
2,0,0,0,0,0
3,1,4,0,495,500
4,184,0,0,1476,1660
5,0,0,0,46,46
6,0,0,0,89,89
7,318,336,0,2890,3544
8,1,0,0,22,23
9,1,5,0,250,256
10,27,21,0,853,901
11,4,6,0,391,401
12,26,0,0,22,48
13,1289,0,0,1507,2796
14,8,24,0,1558,1590
15,2,4,0,168,174
16,3,1,0,492,496
17,22,65,0,2158,2245
18,6,29,0,1171,1206
19,1,4,0,209,214
20,1,8,0,675,684
21,5,9,0,941,955
22,4,16,0,1047,1067
23,0,0,0,236,236
24,453,43,0,599,1095
25,130,142,0,1278,1550
26,8,20,0,2033,2061
27,0,0,0,4,4
28,9,11,0,699,719
29,5,17,0,603,625
30,0,0,0,4,4
31,1,1,0,128,130
32,2,13,0,585,600
33,187,233,0,1276,1696
34,4,2,0,121,127
35,5,36,0,1594,1635
36,4,23,0,1867,1894
37,16,20,0,2424,2460
38,3,3,0,214,220
39,9,40,0,2370,2419
40,154,67,0,722,943
41,559,447,0,1689,2695
42,308,357,0,2458,3123
43,1349,98,0,882,2329
44,0,0,0,47,47
45,195,0,0,572,767
46,0,0,0,17,17
47,4,13,0,806,823
48,3851,1,0,4933,8785
49,35,103,0,1795,1933
50,1070,0,0,1773,2843
51,0,17,0,688,705
52,159,101,0,383,643
53,2,0,0,379,381
54,12,10,0,215,237
55,4,30,0,617,651
56,8,29,0,1197,1234
57,0,3,0,45,48
58,0,0,0,71,71
59,0,0,0,42,42
60,3,6,0,599,608
61,20,95,0,3895,4010
62,8,42,0,1216,1266
63,1,3,0,942,946
64,0,2,0,163,165
65,139,96,0,1020,1255
66,73,122,0,820,1015
67,3,3,0,582,588
68,2171,0,0,3129,5300
69,11,40,0,1493,1544
70,30,15,0,800,845
71,10,19,0,1259,1288
72,5,25,0,1763,1793
73,1,4,0,374,379
74,678,718,0,1883,3279
75,1100,710,0,1658,3468
76,7,49,0,2735,2791
77,4,17,0,788,809
78,4,15,0,908,927
79,1991,0,0,4307,6298
80,30,44,0,1732,1806
81,1,12,0,809,822
82,51,323,0,1692,2066
83,19,45,0,656,720
84,0,0,0,80,80
85,6,14,0,790,810
86,0,2,0,319,321
87,799,0,0,1547,2346
88,348,0,0,325,673
89,18,51,0,2344,2413
90,1582,0,0,2177,3759
91,10,27,0,1562,1599
92,11,54,0,1248,1313
93,9,5,0,90,104
94,2,6,0,458,466
95,31,189,0,1599,1819
96,0,1,0,52,53
97,93,140,0,1471,1704
98,2,3,0,251,256
99,0,0,0,3,3
100,2965,0,0,1998,4963
101,3,4,0,212,219
102,0,6,0,576,582
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,18,18,0,403,439
107,2445,0,0,3064,5509
108,2,12,0,477,491
109,0,0,0,115,115
110,0,0,0,1,1
111,0,1,0,26,27
112,23,63,0,2214,2300
113,1579,0,0,2018,3597
114,908,0,0,1561,2469
115,0,0,0,169,169
116,205,159,0,1288,1652
117,1,0,0,265,266
118,0,0,0,153,153
119,7,7,0,977,991
120,2,0,0,148,150
121,0,17,0,668,685
122,2,5,0,284,291
123,6,15,0,1145,1166
124,3,2,0,323,328
125,611,0,0,874,1485
126,4,12,0,562,578
127,12,40,0,857,909
128,1,2,0,61,64
129,107,259,0,2582,2948
130,18,121,0,1287,1426
131,3,8,0,408,419
132,2859,2,0,4284,7145
133,4,7,0,752,763
134,12,64,0,575,651
135,6,12,0,668,686
136,3,23,0,769,795
137,1616,2,0,2429,4047
138,2755,0,0,2388,5143
139,5,4,0,369,378
140,2615,1,0,2486,5102
141,2841,0,0,2762,5603
142,2704,0,0,2482,5186
143,1338,0,0,2435,3773
144,557,0,0,1482,2039
145,107,159,0,1498,1764
146,134,27,0,624,785
147,3,5,0,591,599
148,745,0,0,2040,2785
149,5,11,0,847,863
150,3,3,0,492,498
151,993,0,0,1313,2306
152,138,75,0,659,872
153,1,4,0,174,179
154,0,1,0,27,28
155,6,21,0,778,805
156,0,0,0,244,244
157,6,3,0,760,769
158,915,0,0,1718,2633
159,14,31,0,1016,1061
160,1,4,0,561,566
161,3883,0,0,2401,6284
162,4137,0,0,2036,6173
163,2642,1,0,1995,4638
164,2396,0,0,2583,4979
165,7,17,0,1248,1272
166,738,408,0,1367,2513
167,11,21,0,1023,1055
168,31,27,0,1265,1323
169,8,16,0,1117,1141
170,3787,1,0,3312,7100
171,3,5,0,562,570
172,0,0,0,95,95
173,3,33,0,798,834
174,3,26,0,972,1001
175,2,3,0,291,296
176,0,0,0,63,63
177,7,17,0,1205,1229
178,1,4,0,556,561
179,168,82,0,1071,1321
180,0,4,0,391,395
181,88,153,0,2447,2688
182,9,30,0,642,681
183,0,5,0,266,271
184,1,0,0,43,44
185,1,14,0,714,729
186,4622,1,0,2200,6823
187,0,0,0,118,118
188,35,48,0,2123,2206
189,22,25,0,848,895
190,1,8,0,150,159
191,6,8,0,633,647
192,1,9,0,424,434
193,86,27,0,313,426
194,4,0,0,7,11
195,4,6,0,353,363
196,9,55,0,520,584
197,3,16,0,1114,1133
198,1,6,0,1605,1612
199,0,0,0,0,0
200,1,1,0,468,470
201,0,2,0,62,64
202,4,3,0,137,144
203,2,3,0,398,403
204,0,0,0,31,31
205,6,16,0,936,958
206,0,0,0,496,496
207,1,0,0,2,3
208,1,7,0,664,672
209,169,0,0,502,671
210,2,44,0,1039,1085
211,511,0,0,1170,1681
212,5,15,0,541,561
213,5,32,0,1068,1105
214,0,0,0,146,146
215,15,20,0,864,899
216,21,7,0,1508,1536
217,5,7,0,505,517
218,7,8,0,514,529
219,12,2,0,509,523
220,2,10,0,906,918
221,0,0,0,321,321
222,2,13,0,361,376
223,140,166,0,1718,2024
224,300,0,0,1216,1516
225,14,35,0,2388,2437
226,322,91,0,1703,2116
227,6,7,0,772,785
228,6,17,0,964,987
229,2264,0,0,2652,4916
230,3865,0,0,2701,6566
231,1818,1,0,2937,4756
232,153,0,0,1394,1547
233,1552,0,0,2423,3975
234,2554,0,0,2915,5469
235,9,18,0,1284,1311
236,4801,48,0,2869,7718
237,4947,0,0,2716,7663
238,2018,0,0,2577,4595
239,2326,1,0,2661,4988
240,1,0,0,234,235
241,1,20,0,1116,1137
242,5,42,0,948,995
243,30,72,0,1501,1603
244,212,207,0,2074,2493
245,0,0,0,183,183
246,1312,1,0,2884,4197
247,19,37,0,887,943
248,1,7,0,563,571
249,1528,0,0,2703,4231
250,6,8,0,601,615
251,0,0,0,119,119
252,2,2,0,341,345
253,0,0,0,6,6
254,4,25,0,1178,1207
255,49,99,0,2032,2180
256,52,35,0,1842,1929
257,6,11,0,511,528
258,3,9,0,883,895
259,3,3,0,771,777
260,125,188,0,1157,1470
261,414,0,0,662,1076
262,1602,0,0,2233,3835
263,1943,8,0,2292,4243
