p_id,ycount,gcount,hfcount,fcount,sum
1,4,0,0,40,44
2,0,0,0,0,0
3,1,2,0,109,112
4,334,0,0,179,513
5,0,0,0,3,3
6,0,0,0,8,8
7,572,822,0,522,1916
8,3,0,0,2,5
9,1,0,0,45,46
10,4,0,0,73,77
11,1,0,0,49,50
12,27,0,0,2,29
13,435,0,0,176,611
14,14,21,0,345,380
15,0,0,0,29,29
16,1,5,0,98,104
17,75,282,0,461,818
18,6,57,0,254,317
19,0,3,0,36,39
20,2,20,0,58,80
21,1,8,0,150,159
22,5,7,0,193,205
23,0,0,0,19,19
24,423,45,0,127,595
25,95,181,0,221,497
26,9,8,0,170,187
27,0,1,0,2,3
28,27,15,0,136,178
29,5,3,0,51,59
30,0,0,0,0,0
31,1,4,0,11,16
32,3,15,0,103,121
33,93,126,0,186,405
34,1,5,0,11,17
35,10,36,0,164,210
36,55,108,0,685,848
37,126,155,0,705,986
38,2,0,0,17,19
39,5,13,0,225,243
40,56,78,0,133,267
41,459,559,0,409,1427
42,260,580,0,485,1325
43,882,55,0,72,1009
44,0,0,0,3,3
45,194,0,0,131,325
46,0,0,0,3,3
47,3,44,0,73,120
48,2830,0,0,671,3501
49,58,260,0,370,688
50,1212,0,0,436,1648
51,2,8,0,128,138
52,38,50,0,76,164
53,2,3,0,59,64
54,3,6,0,42,51
55,1,17,0,59,77
56,33,135,0,390,558
57,0,0,0,22,22
58,0,1,0,13,14
59,0,2,0,5,7
60,7,19,0,66,92
61,64,332,0,746,1142
62,20,60,0,181,261
63,5,17,0,145,167
64,1,1,0,19,21
65,136,131,0,170,437
66,18,78,0,92,188
67,5,1,0,136,142
68,1890,0,0,500,2390
69,34,117,0,178,329
70,56,73,0,227,356
71,6,20,0,196,222
72,9,22,0,210,241
73,0,3,0,83,86
74,725,630,0,320,1675
75,899,462,0,237,1598
76,14,38,0,225,277
77,6,20,0,99,125
78,6,32,0,129,167
79,2752,0,0,778,3530
80,114,168,0,432,714
81,2,1,0,272,275
82,199,932,0,474,1605
83,93,188,0,166,447
84,0,0,0,9,9
85,9,46,0,97,152
86,0,0,0,8,8
87,413,0,0,250,663
88,210,0,0,78,288
89,32,76,0,352,460
90,1269,0,0,332,1601
91,4,15,0,184,203
92,37,140,0,227,404
93,4,2,0,4,10
94,15,43,0,105,163
95,64,267,0,260,591
96,0,2,0,8,10
97,105,243,0,237,585
98,0,0,0,34,34
99,0,0,0,0,0
100,1417,0,0,200,1617
101,0,0,0,12,12
102,5,8,0,259,272
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,17,19,0,59,95
107,1725,0,0,415,2140
108,1,3,0,52,56
109,0,0,0,2,2
110,0,0,0,0,0
111,0,1,0,2,3
112,50,177,0,391,618
113,1084,0,0,295,1379
114,1054,0,0,288,1342
115,0,0,0,18,18
116,287,318,0,293,898
117,1,1,0,11,13
118,0,0,0,19,19
119,20,60,0,220,300
120,1,9,0,7,17
121,3,8,0,81,92
122,0,1,0,21,22
123,4,3,0,140,147
124,2,2,0,34,38
125,230,0,0,76,306
126,8,31,0,79,118
127,34,91,0,333,458
