p_id,ycount,gcount,hfcount,fcount,sum
1,2,0,0,39,41
2,0,0,0,6,6
3,1,2,0,104,107
4,1196,0,0,650,1846
5,0,0,0,3,3
6,0,0,0,19,19
7,725,1494,0,904,3123
8,4,0,0,0,4
9,0,1,0,39,40
10,12,4,0,76,92
11,1,3,0,31,35
12,49,0,0,6,55
13,1029,0,0,511,1540
14,21,26,0,278,325
15,0,1,0,26,27
16,3,15,0,145,163
17,129,549,0,859,1537
18,2,28,0,167,197
19,0,1,0,22,23
20,3,39,0,82,124
21,1,4,0,95,100
22,3,4,0,109,116
23,0,1,0,31,32
24,537,56,0,160,753
25,276,476,0,529,1281
26,1,2,0,127,130
27,1,0,0,1,2
28,7,21,0,128,156
29,2,5,0,38,45
30,0,0,0,0,0
31,1,4,0,8,13
32,0,5,0,62,67
33,209,289,0,453,951
34,5,13,0,29,47
35,8,28,0,166,202
36,156,400,0,1485,2041
37,325,508,0,1613,2446
38,1,0,0,19,20
39,3,18,0,220,241
40,161,182,0,253,596
41,650,1203,0,535,2388
42,277,807,0,595,1679
43,1702,100,0,147,1949
44,0,0,0,2,2
45,470,0,0,301,771
46,0,0,0,5,5
47,14,32,0,43,89
48,6533,0,0,1485,8018
49,176,616,0,793,1585
50,2688,0,0,833,3521
51,0,3,0,237,240
52,96,131,0,160,387
53,2,4,0,55,61
54,17,13,0,72,102
55,2,26,0,40,68
56,8,74,0,323,405
57,0,0,0,31,31
58,0,0,0,2,2
59,0,1,0,0,1
60,3,17,0,29,49
61,128,623,0,1323,2074
62,23,102,0,284,409
63,2,3,0,139,144
64,0,1,0,14,15
65,298,255,0,378,931
66,72,221,0,225,518
67,4,3,0,65,72
68,5304,0,0,1572,6876
69,12,56,0,103,171
70,40,49,0,242,331
71,5,12,0,133,150
72,2,29,0,171,202
73,2,4,0,61,67
74,674,909,0,375,1958
75,1142,717,0,337,2196
76,3,64,0,888,955
77,7,17,0,120,144
78,0,28,0,65,93
79,11303,0,0,3485,14788
80,462,716,0,1117,2295
81,0,1,0,321,322
82,125,992,0,412,1529
83,87,173,0,119,379
84,0,0,0,12,12
85,14,55,0,100,169
86,0,0,0,5,5
87,1161,0,0,669,1830
88,404,0,0,194,598
89,44,95,0,432,571
90,3822,0,0,979,4801
91,11,18,0,163,192
92,11,218,0,208,437
93,7,7,0,21,35
94,2,21,0,70,93
95,67,413,0,354,834
96,0,0,0,6,6
97,215,499,0,445,1159
98,0,1,0,40,41
99,0,0,0,0,0
100,2555,0,0,468,3023
101,0,0,0,13,13
102,2,7,0,321,330
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,62,160,0,276,498
107,5279,0,0,1307,6586
108,0,1,0,28,29
109,0,0,0,11,11
110,0,0,0,0,0
111,1,3,0,2,6
112,304,920,0,1129,2353
113,3000,0,0,1053,4053
114,4069,0,0,1440,5509
115,0,0,0,19,19
116,271,418,0,400,1089
117,0,0,0,9,9
118,0,0,0,21,21
119,7,35,0,78,120
120,1,6,0,9,16
121,5,7,0,131,143
122,0,0,0,16,16
123,3,0,0,130,133
124,1,0,0,38,39
125,1066,0,0,427,1493
126,3,19,0,44,66
127,33,127,0,379,539
128,2,3,0,8,13
129,269,1148,0,557,1974
130,9,225,0,153,387
131,11,3,0,73,87
132,1897,3,0,692,2592
133,21,18,0,99,138
134,7,104,0,117,228
135,6,7,0,91,104
136,5,24,0,190,219
137,2448,0,0,691,3139
138,1576,6,0,436,2018
139,0,0,0,22,22
140,2068,0,0,553,2621
141,4018,0,0,816,4834
142,3808,0,0,745,4553
143,1749,0,0,473,2222
144,2843,0,0,1054,3897
145,249,467,0,577,1293
146,290,188,0,187,665
147,1,18,0,27,46
148,7150,0,0,2676,9826
149,1,7,0,64,72
150,1,2,0,49,52
151,1537,0,0,322,1859
152,205,201,0,174,580
153,5,13,0,35,53
154,0,0,0,1,1
155,0,3,0,65,68
156,0,1,0,26,27
157,21,21,0,255,297
158,3605,0,0,1606,5211
159,16,72,0,76,164
160,6,4,0,189,199
161,3815,0,0,744,4559
162,3547,0,0,717,4264
163,3833,0,0,940,4773
164,4835,0,0,1262,6097
165,8,6,0,116,130
166,801,548,0,363,1712
167,6,43,0,72,121
168,37,113,0,105,255
169,5,51,0,92,148
170,4828,0,0,1246,6074
171,2,5,0,93,100
172,0,0,0,6,6
173,27,241,0,418,686
174,1,25,0,84,110
175,0,0,0,17,17
176,0,0,0,2,2
177,14,39,0,282,335
178,1,0,0,46,47
179,249,165,0,264,678
180,1,10,0,82,93
181,386,878,0,1189,2453
182,4,38,0,52,94
183,0,4,0,20,24
184,0,0,0,4,4
185,0,12,0,83,95
186,4380,0,0,831,5211
187,0,1,0,30,31
188,61,171,0,431,663
189,99,250,0,419,768
190,18,28,0,25,71
191,3,3,0,76,82
192,0,10,0,73,83
193,93,28,0,30,151
194,4,3,0,9,16
195,16,39,0,181,236
196,35,102,0,133,270
197,3,21,0,247,271
198,40,54,0,1159,1253
199,0,0,0,0,0
200,2,2,0,93,97
201,0,0,0,5,5
202,6,14,0,35,55
203,0,0,0,26,26
204,0,0,0,3,3
205,0,2,0,63,65
206,0,1,0,70,71
207,2,2,0,1,5
208,3,13,0,70,86
209,269,0,0,210,479
210,0,37,0,57,94
211,1410,0,0,844,2254
212,3,30,0,37,70
213,4,14,0,53,71
214,0,0,0,4,4
215,4,6,0,55,65
216,12,15,0,133,160
217,32,35,0,50,117
218,1,1,0,38,40
219,0,1,0,19,20
220,5,39,0,158,202
221,0,0,0,28,28
222,0,2,0,45,47
223,242,453,0,447,1142
224,906,0,0,411,1317
225,61,253,0,794,1108
226,446,279,0,403,1128
227,7,16,0,190,213
228,102,369,0,888,1359
229,3005,0,0,785,3790
230,5386,0,0,1225,6611
231,3230,0,0,1738,4968
232,739,0,0,541,1280
233,1948,0,0,605,2553
234,5233,0,0,1418,6651
235,4,33,0,118,155
236,4260,31,0,726,5017
237,4162,0,0,693,4855
238,3264,1,0,681,3946
239,4045,0,0,819,4864
240,4,1,0,16,21
241,9,26,0,475,510
242,1,36,0,65,102
243,51,199,0,524,774
244,197,443,0,686,1326
245,0,0,0,42,42
246,2594,0,0,914,3508
247,22,111,0,96,229
248,0,20,0,29,49
249,5767,0,0,1889,7656
250,4,32,0,30,66
251,0,0,0,14,14
252,1,0,0,51,52
253,0,1,0,12,13
254,0,7,0,227,234
255,875,2558,0,1753,5186
256,724,1321,0,1402,3447
257,12,28,0,212,252
258,5,11,0,103,119
259,3,2,0,102,107
260,193,582,0,269,1044
261,746,0,0,333,1079
262,2106,0,0,454,2560
263,3557,7,0,768,4332
