p_id,p_hour,ycount
1,07,1
2,00,0
3,00,0
4,09,63
5,00,0
6,01,1
7,07,57
8,05,1
9,00,0
10,07,4
11,00,0
12,12,11
13,08,365
14,11,4
15,00,0
16,01,1
17,00,15
18,02,1
19,00,0
20,00,0
21,05,1
22,00,0
23,00,0
24,08,100
25,07,32
26,01,1
27,00,0
28,05,2
29,00,0
30,00,0
31,01,1
32,00,0
33,07,64
34,08,4
35,03,1
36,02,8
37,01,22
38,01,1
39,00,1
40,08,52
41,07,112
42,07,61
43,11,437
44,00,0
45,12,49
46,00,0
47,00,2
48,08,655
49,08,14
50,08,223
51,00,1
52,08,48
53,12,1
54,08,7
55,00,0
56,00,3
57,00,0
58,00,0
59,00,0
60,00,0
61,01,7
62,01,6
63,02,1
64,00,0
65,07,39
66,08,19
67,00,0
68,09,546
69,05,2
70,06,5
71,02,1
72,00,2
73,00,0
74,07,88
75,07,193
76,02,3
77,00,0
78,03,2
79,00,761
80,00,33
81,10,1
82,01,10
83,05,5
84,00,0
85,00,1
86,00,0
87,08,175
88,12,100
89,07,8
90,09,471
91,01,1
92,02,2
93,00,4
94,11,1
95,07,7
96,06,1
97,00,34
98,10,1
99,00,0
100,09,505
101,00,1
102,00,0
103,00,0
104,00,0
105,00,0
106,00,8
107,08,592
108,12,1
109,00,0
110,00,0
111,00,0
112,00,26
113,08,413
114,00,317
115,00,0
116,07,34
117,00,0
118,00,0
119,01,1
120,00,0
121,00,1
122,10,1
123,00,0
124,01,1
125,12,156
126,04,1
127,04,2
128,00,0
129,06,21
130,10,2
131,02,1
132,06,437
133,06,3
134,08,3
135,07,2
136,08,1
137,08,349
138,10,721
139,01,1
140,08,657
141,08,681
142,08,570
143,10,280
144,00,217
145,00,26
146,08,21
147,00,0
148,00,411
149,04,1
150,00,0
151,07,237
152,07,32
153,04,1
154,00,0
155,00,0
156,00,0
157,03,3
158,00,310
159,05,4
160,06,1
161,11,943
162,08,768
163,12,679
164,12,584
165,01,1
166,08,131
167,00,0
168,06,6
169,00,1
170,09,925
171,06,1
172,00,0
173,00,1
174,00,2
175,00,0
176,00,0
177,07,1
178,00,0
179,06,25
180,00,0
181,00,29
182,00,0
183,00,0
184,00,0
185,02,1
186,07,893
187,00,0
188,07,8
189,00,15
190,00,1
191,02,1
192,00,0
193,06,15
194,08,3
195,01,2
196,05,4
197,02,1
198,01,2
199,00,0
200,09,1
201,00,0
202,10,3
203,00,1
204,00,0
205,00,0
206,00,0
207,00,0
208,11,1
209,09,42
210,00,0
211,12,176
212,04,1
213,05,1
214,00,0
215,06,4
216,06,2
217,01,11
218,05,1
219,11,2
220,00,1
221,00,0
222,00,0
223,06,46
224,07,85
225,00,11
226,07,98
227,00,1
228,06,5
229,08,581
230,08,569
231,08,460
232,00,47
233,09,368
234,12,717
235,04,1
236,08,1102
237,08,1053
238,08,460
239,12,476
240,04,3
241,07,1
242,07,1
243,03,5
244,08,26
245,00,0
246,12,375
247,07,6
248,04,1
249,00,408
250,04,1
251,00,0
252,00,0
253,00,0
254,00,0
255,00,83
256,00,56
257,07,3
258,05,1
259,00,1
260,07,35
261,12,117
262,07,481
263,08,463
