,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,7,7,-24.9013698630137,-0.7805736860185504
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,2,6,0,573,581,134.26575342465753,0.300549497724736
3,4,146,0,0,910,1056,-658.1095890410959,-0.383936705825941
4,5,0,0,0,43,43,-10.397260273972606,-0.19471523858388923
5,6,1,0,0,98,99,9.043835616438358,0.10053602972528479
6,7,198,227,0,2273,2698,-681.7753424657535,-0.20172208900972588
7,8,0,0,0,15,15,-4.156164383561645,-0.21696224256292912
8,9,0,3,0,226,229,17.816438356164383,0.08436470252458421
9,10,20,8,0,827,855,90.35890410958905,0.11817165542792035
10,11,2,4,0,309,315,41.60000000000002,0.15215801024140463
11,12,36,0,0,35,71,1.1972602739726028,0.01715205275139336
12,13,488,0,0,709,1197,-1011.1150684931508,-0.45790868552115366
13,14,11,24,0,1085,1120,-168.78082191780823,-0.13096161818007887
14,15,0,2,0,158,160,-17.701369863013696,-0.09961301860902544
15,16,2,2,0,397,401,-114.73698630136983,-0.22247189817470936
16,17,15,37,0,2141,2193,-117.25753424657523,-0.05075517880945487
17,18,3,11,0,1815,1829,822.5808219178082,0.8173342080834533
18,19,3,2,0,194,199,20.309589041095904,0.1136579681702494
19,20,3,11,0,786,800,213.39999999999998,0.3637913399249914
20,21,3,13,0,682,698,35.48493150684931,0.053560942527024445
21,22,6,10,0,799,815,54.81369863013697,0.07210561217870166
22,23,0,0,0,264,264,37.643835616438366,0.16630355846042125
23,24,210,9,0,401,620,-267.08493150684933,-0.30108157857350226
24,25,44,82,0,1047,1173,-454.2109589041097,-0.2791346484109292
25,26,9,14,0,1136,1159,130.27397260273983,0.12663621715914097
26,27,0,0,0,10,10,0.7589041095890412,0.0821227394011266
27,28,10,9,0,491,510,-9.810958904109611,-0.018874090159225473
28,29,3,12,0,421,436,8.827397260273983,0.020664708372349593
29,30,0,0,0,5,5,-2.9945205479452053,-0.37457162440027414
30,31,1,0,0,196,197,81.33698630136986,0.703223819788237
31,32,6,11,0,767,784,242.75068493150684,0.4485006782886877
32,33,43,82,0,718,843,-655.7671232876712,-0.4375377022210036
33,34,0,0,0,54,54,-101.37534246575342,-0.6524545069826492
34,35,15,32,0,1829,1876,434.3561643835617,0.3012922843025466
35,36,11,20,0,2000,2031,-375.10410958904095,-0.15589687416024078
36,37,19,12,0,2870,2901,-130.2301369863012,-0.04296280094251707
37,38,4,9,0,262,275,59.68219178082191,0.2771818656080212
38,39,13,28,0,2378,2419,338.29315068493133,0.1625856861077241
39,40,26,18,0,376,420,-359.8712328767124,-0.4614495543697063
40,41,295,281,0,1501,2077,-573.4465753424656,-0.21635847357850263
41,42,157,214,0,2545,2916,6.586301369863122,0.0022637899082430953
42,43,939,41,0,675,1655,-573.1999999999998,-0.2572480028722735
43,44,0,0,0,48,48,-9.780821917808218,-0.1692745376955903
44,45,91,2,0,484,577,-268.0082191780822,-0.3171664051253453
45,46,1,0,0,33,34,1.5534246575342436,0.047876382673309036
46,47,4,8,0,1183,1195,451.30136986301375,0.6068336710259717
47,48,2445,1,0,2997,5443,-2496.7479452054795,-0.31446186483957256
48,49,20,42,0,1389,1451,-493.1287671232876,-0.2536502599326106
49,50,558,0,0,1030,1588,-1226.495890410959,-0.43577817775099753
50,51,12,15,0,1041,1068,354.14794520547946,0.4961083222032884
51,52,29,20,0,180,229,-263.4,-0.5349309504467912
52,53,2,0,0,491,493,156.0219178082192,0.4630031626787646
53,54,3,2,0,136,141,-62.68219178082191,-0.30774507693963193
54,55,3,15,0,561,579,22.48219178082195,0.04039797370144101
55,56,5,16,0,1128,1149,289.05479452054794,0.336131642665987
56,57,0,0,0,72,72,27.71780821917808,0.6259357792489018
57,58,0,1,0,79,80,17.865753424657534,0.2875347237532519
58,59,0,0,0,46,46,6.731506849315068,0.17142259122305167
59,60,5,8,0,755,768,272.92602739726027,0.5512833283527576
60,61,23,78,0,3690,3791,-233.8931506849317,-0.05811164220474504
61,62,7,24,0,972,1003,-31.654794520547966,-0.03059454678815516
62,63,5,1,0,996,1002,212.08493150684933,0.2684908035890802
63,64,1,3,0,129,133,-13.167123287671245,-0.09008266011883571
64,65,67,74,0,853,994,-439.8712328767124,-0.30677178172702313
